zewnętrzna,0.5,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.3,2.6,2.9,3.2,3.6,4,4.5,5,5.4,5.6,6.3,7.1,8,8.8,10,11,12.5,14.2,16
63.5,0,0,0,0,0,0,2.44,2.74,03.03,3.47,3.9,4.33,4.76,5.32,5.87,6.55,7.21,7.74,8,8.89,9.88,11,11.9,13.2,14.2,15.7,0,0
70,0,0,0,0,0,0,2.7,03.03,3.35,3.84,4.32,4.8,5.27,5.9,6.51,7.27,08.01,8.6,8.89,9.9,11,12.2,13.3,14.8,16,17.7,19.3,0
73,0,0,0,0,0,0,2.82,3.16,3.5,04.01,4.51,05.01,5.51,6.16,6.81,7.6,8.38,9,9.31,10.4,11.5,12.8,13.9,15.5,16.8,18.7,20.4,0
76.1,0,0,0,0,0,0,2.94,3.3,3.65,4.19,4.71,5.24,5.75,6.44,7.11,7.95,8.77,9.42,9.74,10.8,12.1,13.4,14.6,16.3,17.7,19.6,21.4,23.7
82.5,0,0,0,0,0,0,0,0,3.97,4.55,5.12,5.69,6.26,7,7.74,8.66,9.56,10.3,10.6,11.8,13.2,14.7,16,17.9,19.4,21.6,23.7,26.2
88.9,0,0,0,0,0,0,0,0,4.29,4.91,5.53,6.15,6.76,7.57,8.38,9.37,10.3,11.1,11.5,12.8,14.3,16,17.4,19.5,21.1,23.6,25.9,28.8
101.6,0,0,0,0,0,0,0,0,4.91,5.63,6.35,07.06,7.77,8.7,9.63,10.8,11.9,12.8,13.3,14.8,16.5,18.5,20.1,22.6,24.6,27.5,30.2,33.8
108,0,0,0,0,0,0,0,0,5.23,6,6.76,7.52,8.27,9.27,10.3,11.5,12.7,13.7,14.1,15.8,17.7,19.7,21.5,24.2,26.3,29.4,32.6,36.3
114.3,0,0,0,0,0,0,0,0,0,0,7.16,7.97,8.77,9.83,10.9,12.2,13.5,14.5,15,16.8,18.8,21,22.9,25.7,28,31.4,34.6,38.8
121,0,0,0,0,0,0,0,0,0,0,7.6,8.5,9.3,10.4,11.5,12.9,14.3,15.4,15.9,17.8,19.9,22.3,24.4,27.4,29.8,33.4,36.9,41.4
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,13.6,15,16.2,16.8,18.8,21,23.5,25.7,28.9,31.5,35.3,39,43.8
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,14.3,15.8,17,17.6,19.7,22,24.7,27,30.3,33.1,37.1,41.1,46.2
139.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,18.5,20.7,23.2,26,28.4,32,34.9,39.2,43.4,48.2
